
Rk 	  		Age 	G 	GS 	MP 	FG 	FGA 	FG% 	3P 	3PA 	3P% 	2P 	2PA 	2P% 	FT 	FTA 	FT% 	ORB 	DRB 	TRB 	AST 	STL 	BLK 	TOV 	PF 	PTS 
1	James Harden	29	54	54	2019	14.1	32.0	.441	6.7	17.8	.374	7.5	14.2	.527	13.1	15.1	.871	1.3	7.5	8.8	10.1	2.8	1.0	7.1	4.3	48.1
2	P.J. Tucker	33	57	57	2015	3.7	9.4	.392	2.4	6.6	.362	1.3	2.8	.465	0.8	1.2	.647	2.2	6.5	8.8	1.8	2.2	0.6	1.2	4.3	10.6
3	Eric Gordon	30	45	31	1458	8.6	21.9	.392	4.1	12.9	.320	4.4	9.0	.494	3.1	4.0	.788	0.5	3.4	3.9	3.1	0.8	0.7	2.2	3.4	24.5
4	Clint Capela	24	42	42	1436	10.8	17.1	.631	0.0	0.0	.000	10.8	17.1	.631	3.7	6.0	.626	7.1	11.0	18.1	2.1	0.9	2.6	2.2	3.8	25.3
5	Gerald Green	33	53	0	1131	7.9	18.8	.418	5.2	14.3	.361	2.7	4.5	.602	1.7	2.1	.796	1.0	5.1	6.1	1.3	0.8	0.9	1.7	4.3	22.6
6	Chris Paul	33	34	34	1106	7.8	18.7	.419	3.2	9.0	.351	4.7	9.7	.482	4.8	5.8	.831	0.8	5.4	6.3	12.1	3.2	0.4	4.2	3.8	23.6
7	James Ennis	28	40	25	949	5.4	10.9	.493	2.3	6.2	.367	3.1	4.7	.659	2.2	3.0	.724	1.9	4.1	6.1	1.4	2.0	0.8	1.2	5.7	15.2
8	Austin Rivers	26	24	13	798	5.9	14.3	.414	2.8	8.6	.329	3.1	5.7	.543	0.9	1.7	.536	0.6	3.0	3.6	4.7	0.9	0.4	1.2	4.9	15.6
9	Danuel House	25	25	12	620	5.6	12.3	.458	3.1	7.9	.390	2.5	4.4	.582	3.6	4.4	.818	1.6	5.5	7.1	2.1	1.1	0.8	1.8	3.6	17.9
10	Gary Clark	24	37	1	528	3.3	10.2	.318	2.7	9.3	.290	0.6	0.9	.600	0.6	0.6	1.000	1.7	7.1	8.7	1.3	1.4	2.0	0.5	3.5	9.8
