
Rk 	  		Age 	G 	GS 	MP 	FG 	FGA 	FG% 	3P 	3PA 	3P% 	2P 	2PA 	2P% 	FT 	FTA 	FT% 	ORB 	DRB 	TRB 	AST 	STL 	BLK 	TOV 	PF 	PTS
1	Karl-Anthony Towns	23	57	57	1888	12.2	23.8	.512	2.5	6.6	.389	9.7	17.3	.559	6.7	7.9	.847	4.9	12.6	17.5	4.7	1.4	2.6	4.2	5.4	33.6
2	Andrew Wiggins	23	51	51	1772	9.2	23.1	.396	2.1	6.5	.331	7.0	16.6	.422	4.3	6.1	.714	1.7	4.9	6.7	3.3	1.5	0.8	2.6	2.8	24.8
3	Taj Gibson	33	56	54	1402	8.1	14.5	.562	0.4	1.1	.333	7.8	13.4	.581	3.4	4.5	.748	4.7	7.8	12.5	2.2	1.5	1.1	2.0	5.1	20.0
4	Derrick Rose	30	41	13	1169	12.0	25.2	.477	2.2	5.4	.402	9.8	19.8	.498	4.6	5.4	.854	1.1	3.6	4.7	8.0	1.1	0.5	2.8	1.9	30.8
5	Josh Okogie	20	49	27	1112	5.5	15.0	.364	1.7	6.5	.260	3.8	8.5	.444	3.4	4.6	.745	1.3	5.2	6.4	2.5	2.1	0.8	2.1	5.0	16.0
6	Jeff Teague	30	34	33	1028	6.6	15.5	.429	1.4	3.9	.357	5.2	11.6	.453	4.7	5.8	.815	0.6	3.5	4.0	13.0	1.7	0.6	3.6	3.3	19.4
7	Dario Saric	24	43	3	995	7.4	16.2	.460	2.9	7.3	.400	4.5	8.9	.508	2.8	3.2	.879	3.1	8.1	11.3	2.9	1.3	0.1	1.9	4.3	20.6
8	Tyus Jones	22	43	6	873	5.0	13.1	.380	1.2	4.1	.297	3.7	9.0	.417	1.8	2.1	.842	0.7	3.3	4.0	9.4	3.0	0.2	1.5	2.2	12.9
9	Robert Covington	28	22	22	763	6.7	15.5	.433	3.5	9.3	.372	3.2	6.1	.526	3.2	4.2	.773	1.3	6.6	7.9	2.0	3.2	1.5	1.6	5.1	20.1
10	Gorgui Dieng	29	57	0	762	7.8	15.9	.494	0.8	2.7	.310	7.0	13.2	.531	3.7	4.2	.879	3.7	11.0	14.7	3.2	2.0	1.8	2.2	6.8	20.2
